country,date,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,servious_critical,total_cases_1M_pop,total_deaths_1M_pop,total_tests,tests_1M_pop
Afghanistan,2020-03-24,74.0,34.0,1.0,0.0,1.0,72.0,0.0,2.0,0.03,0,0
Albania,2020-03-24,123.0,19.0,5.0,1.0,10.0,108.0,2.0,43.0,2.0,0,0
Andorra,2020-03-24,164.0,31.0,1.0,0.0,1.0,162.0,7.0,2123.0,13.0,0,0
Angola,2020-03-24,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.09,0.0,0,0
Antigua and Barbuda,2020-03-24,3.0,0.0,0.0,0.0,0.0,3.0,0.0,31.0,0.0,0,0
Argentina,2020-03-24,387.0,86.0,6.0,2.0,52.0,329.0,0.0,9.0,0.1,0,0
Armenia,2020-03-24,249.0,14.0,0.0,0.0,14.0,235.0,6.0,84.0,0.0,0,0
Aruba,2020-03-24,17.0,8.0,0.0,0.0,1.0,16.0,0.0,159.0,0.0,0,0
Azerbaijan,2020-03-24,87.0,15.0,1.0,0.0,10.0,76.0,6.0,9.0,0.1,0,0
Bahamas,2020-03-24,5.0,1.0,0.0,0.0,1.0,4.0,0.0,13.0,0.0,0,0
Bahrain,2020-03-24,392.0,15.0,3.0,1.0,177.0,212.0,2.0,230.0,2.0,0,0
Bangladesh,2020-03-24,39.0,6.0,4.0,1.0,5.0,30.0,0.0,0.2,0.02,0,0
Barbados,2020-03-24,18.0,1.0,0.0,0.0,0.0,18.0,0.0,63.0,0.0,0,0
Belarus,2020-03-24,81.0,0.0,0.0,0.0,22.0,59.0,0.0,9.0,0.0,0,0
Belize,2020-03-24,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0,0
Benin,2020-03-24,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5,0.0,0,0
Bermuda,2020-03-24,6.0,0.0,0.0,0.0,0.0,6.0,0.0,96.0,0.0,0,0
Bhutan,2020-03-24,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0,0
Bolivia,2020-03-24,29.0,2.0,0.0,0.0,0.0,29.0,0.0,2.0,0.0,0,0
Bosnia and Herzegovina,2020-03-24,168.0,32.0,3.0,2.0,2.0,163.0,1.0,51.0,0.9,0,0
Brunei,2020-03-24,104.0,13.0,0.0,0.0,2.0,102.0,2.0,238.0,0.0,0,0
Bulgaria,2020-03-24,218.0,17.0,3.0,0.0,3.0,212.0,8.0,31.0,0.4,0,0
Burkina Faso,2020-03-24,114.0,15.0,4.0,0.0,7.0,103.0,0.0,5.0,0.2,0,0
CAR,2020-03-24,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.0,0,0
Cabo Verde,2020-03-24,3.0,0.0,1.0,1.0,0.0,2.0,0.0,5.0,2.0,0,0
Cambodia,2020-03-24,91.0,4.0,0.0,0.0,4.0,87.0,1.0,5.0,0.0,0,0
Cameroon,2020-03-24,66.0,10.0,1.0,1.0,2.0,63.0,0.0,2.0,0.04,0,0
Cayman Islands,2020-03-24,6.0,1.0,1.0,0.0,0.0,5.0,0.0,91.0,15.0,0,0
Chad,2020-03-24,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,0,0
Channel Islands,2020-03-24,36.0,0.0,0.0,0.0,0.0,36.0,0.0,207.0,0.0,0,0
Chile,2020-03-24,922.0,176.0,2.0,0.0,17.0,903.0,7.0,48.0,0.1,0,0
Colombia,2020-03-24,378.0,101.0,3.0,0.0,6.0,369.0,0.0,7.0,0.06,0,0
Congo,2020-03-24,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.0,0,0
Costa Rica,2020-03-24,177.0,19.0,2.0,0.0,2.0,173.0,4.0,35.0,0.4,0,0
Croatia,2020-03-24,382.0,67.0,1.0,0.0,5.0,376.0,6.0,93.0,0.2,0,0
Cuba,2020-03-24,48.0,8.0,1.0,0.0,1.0,46.0,2.0,4.0,0.09,0,0
Curaçao,2020-03-24,6.0,2.0,1.0,0.0,0.0,5.0,0.0,37.0,6.0,0,0
Cyprus,2020-03-24,124.0,8.0,3.0,2.0,3.0,118.0,3.0,103.0,2.0,0,0
Czechia,2020-03-24,1394.0,158.0,3.0,2.0,10.0,1381.0,19.0,130.0,0.3,0,0
DRC,2020-03-24,45.0,9.0,2.0,0.0,0.0,43.0,0.0,0.5,0.02,0,0
Diamond Princess,2020-03-24,712.0,0.0,10.0,2.0,587.0,115.0,15.0,0.0,0.0,0,0
Djibouti,2020-03-24,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0,0
Dominica,2020-03-24,7.0,5.0,0.0,0.0,0.0,7.0,0.0,97.0,0.0,0,0
Dominican Republic,2020-03-24,312.0,67.0,6.0,3.0,3.0,303.0,0.0,29.0,0.6,0,0
Ecuador,2020-03-24,1082.0,101.0,27.0,9.0,3.0,1052.0,2.0,61.0,2.0,0,0
Egypt,2020-03-24,402.0,36.0,20.0,1.0,80.0,302.0,0.0,4.0,0.2,0,0
El Salvador,2020-03-24,5.0,2.0,0.0,0.0,0.0,5.0,0.0,0.8,0.0,0,0
Equatorial Guinea,2020-03-24,9.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0,0
Eritrea,2020-03-24,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0,0
Estonia,2020-03-24,369.0,17.0,0.0,0.0,7.0,362.0,4.0,278.0,0.0,0,0
Eswatini,2020-03-24,4.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0,0
Ethiopia,2020-03-24,12.0,1.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,0,0
Faeroe Islands,2020-03-24,122.0,4.0,0.0,0.0,33.0,89.0,0.0,2497.0,0.0,0,0
Fiji,2020-03-24,4.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0,0
Finland,2020-03-24,792.0,92.0,1.0,0.0,10.0,781.0,11.0,143.0,0.2,0,0
French Guiana,2020-03-24,23.0,3.0,0.0,0.0,6.0,17.0,0.0,77.0,0.0,0,0
French Polynesia,2020-03-24,25.0,7.0,0.0,0.0,0.0,25.0,0.0,89.0,0.0,0,0
Gabon,2020-03-24,6.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,0.4,0,0
Gambia,2020-03-24,3.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.4,0,0
Georgia,2020-03-24,70.0,9.0,0.0,0.0,9.0,61.0,1.0,18.0,0.0,0,0
Ghana,2020-03-24,53.0,26.0,2.0,0.0,0.0,51.0,0.0,2.0,0.06,0,0
Gibraltar,2020-03-24,15.0,0.0,0.0,0.0,5.0,10.0,0.0,445.0,0.0,0,0
Greenland,2020-03-24,5.0,1.0,0.0,0.0,2.0,3.0,0.0,88.0,0.0,0,0
Grenada,2020-03-24,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0,0
Guadeloupe,2020-03-24,73.0,11.0,1.0,0.0,0.0,72.0,4.0,182.0,2.0,0,0
Guatemala,2020-03-24,21.0,1.0,1.0,0.0,0.0,20.0,0.0,1.0,0.06,0,0
Guinea,2020-03-24,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.3,0.0,0,0
Guyana,2020-03-24,5.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,1.0,0,0
Haiti,2020-03-24,7.0,1.0,0.0,0.0,0.0,7.0,0.0,0.6,0.0,0,0
Honduras,2020-03-24,30.0,0.0,0.0,0.0,0.0,30.0,0.0,3.0,0.0,0,0
Hungary,2020-03-24,187.0,20.0,9.0,1.0,21.0,157.0,6.0,19.0,0.9,0,0
Iceland,2020-03-24,648.0,60.0,2.0,1.0,51.0,595.0,13.0,1899.0,6.0,0,0
India,2020-03-24,536.0,37.0,10.0,0.0,40.0,486.0,0.0,0.4,0.01,0,0
Isle of Man,2020-03-24,23.0,10.0,0.0,0.0,0.0,23.0,0.0,270.0,0.0,0,0
Israel,2020-03-24,1930.0,488.0,3.0,2.0,53.0,1874.0,34.0,223.0,0.3,0,0
Ivory Coast,2020-03-24,73.0,48.0,0.0,0.0,2.0,71.0,0.0,3.0,0.0,0,0
Jamaica,2020-03-24,21.0,2.0,1.0,0.0,2.0,18.0,0.0,7.0,0.3,0,0
Japan,2020-03-24,1193.0,65.0,43.0,1.0,285.0,865.0,54.0,9.0,0.3,0,0
Jordan,2020-03-24,154.0,27.0,0.0,0.0,1.0,153.0,0.0,15.0,0.0,0,0
Kazakhstan,2020-03-24,72.0,10.0,0.0,0.0,0.0,72.0,0.0,4.0,0.0,0,0
Kenya,2020-03-24,25.0,9.0,0.0,0.0,0.0,25.0,0.0,0.5,0.0,0,0
Kuwait,2020-03-24,191.0,2.0,0.0,0.0,39.0,152.0,5.0,45.0,0.0,0,0
Kyrgyzstan,2020-03-24,42.0,26.0,0.0,0.0,0.0,42.0,0.0,6.0,0.0,0,0
Laos,2020-03-24,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.3,0.0,0,0
Latvia,2020-03-24,197.0,17.0,0.0,0.0,1.0,196.0,0.0,104.0,0.0,0,0
Lebanon,2020-03-24,318.0,51.0,4.0,0.0,8.0,306.0,4.0,47.0,0.6,0,0
Liberia,2020-03-24,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.0,0,0
Libya,2020-03-24,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0,0
Liechtenstein,2020-03-24,51.0,0.0,0.0,0.0,0.0,51.0,0.0,1338.0,0.0,0,0
Lithuania,2020-03-24,209.0,30.0,2.0,1.0,1.0,206.0,1.0,77.0,0.7,0,0
Luxembourg,2020-03-24,1099.0,224.0,8.0,0.0,6.0,1085.0,3.0,1756.0,13.0,0,0
Macao,2020-03-24,29.0,4.0,0.0,0.0,10.0,19.0,0.0,45.0,0.0,0,0
Madagascar,2020-03-24,17.0,5.0,0.0,0.0,0.0,17.0,0.0,0.6,0.0,0,0
Maldives,2020-03-24,13.0,0.0,0.0,0.0,5.0,8.0,0.0,24.0,0.0,0,0
Malta,2020-03-24,110.0,3.0,0.0,0.0,2.0,108.0,1.0,249.0,0.0,0,0
Martinique,2020-03-24,57.0,4.0,1.0,0.0,0.0,56.0,7.0,152.0,3.0,0,0
Mauritania,2020-03-24,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.0,0,0
Mauritius,2020-03-24,42.0,6.0,2.0,0.0,0.0,40.0,1.0,33.0,2.0,0,0
Mayotte,2020-03-24,36.0,12.0,0.0,0.0,0.0,36.0,0.0,132.0,0.0,0,0
Mexico,2020-03-24,367.0,51.0,4.0,1.0,4.0,359.0,1.0,3.0,0.03,0,0
Moldova,2020-03-24,125.0,16.0,1.0,0.0,2.0,122.0,10.0,31.0,0.2,0,0
Monaco,2020-03-24,23.0,0.0,0.0,0.0,1.0,22.0,0.0,586.0,0.0,0,0
Mongolia,2020-03-24,10.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0,0
Montenegro,2020-03-24,47.0,20.0,1.0,0.0,0.0,46.0,0.0,75.0,2.0,0,0
Montserrat,2020-03-24,1.0,0.0,0.0,0.0,0.0,1.0,0.0,200.0,0.0,0,0
Morocco,2020-03-24,170.0,27.0,5.0,1.0,6.0,159.0,1.0,5.0,0.1,0,0
Mozambique,2020-03-24,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.1,0.0,0,0
Myanmar,2020-03-24,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.06,0.0,0,0
Namibia,2020-03-24,7.0,3.0,0.0,0.0,2.0,5.0,0.0,3.0,0.0,0,0
Nepal,2020-03-24,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.07,0.0,0,0
New Caledonia,2020-03-24,10.0,2.0,0.0,0.0,0.0,10.0,0.0,35.0,0.0,0,0
New Zealand,2020-03-24,205.0,103.0,0.0,0.0,22.0,183.0,0.0,43.0,0.0,0,0
Nicaragua,2020-03-24,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.0,0,0
Niger,2020-03-24,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.0,0,0
Nigeria,2020-03-24,44.0,4.0,1.0,0.0,2.0,41.0,0.0,0.2,0.0,0,0
North Macedonia,2020-03-24,148.0,12.0,2.0,0.0,1.0,145.0,1.0,71.0,1.0,0,0
Oman,2020-03-24,84.0,18.0,0.0,0.0,17.0,67.0,0.0,16.0,0.0,0,0
Pakistan,2020-03-24,972.0,97.0,7.0,1.0,18.0,947.0,5.0,4.0,0.03,0,0
Palestine,2020-03-24,60.0,1.0,0.0,0.0,16.0,44.0,0.0,12.0,0.0,0,0
Panama,2020-03-24,443.0,98.0,6.0,0.0,1.0,436.0,33.0,103.0,1.0,0,0
Papua New Guinea,2020-03-24,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0,0
Paraguay,2020-03-24,27.0,5.0,2.0,1.0,0.0,25.0,1.0,4.0,0.3,0,0
Peru,2020-03-24,416.0,21.0,7.0,2.0,1.0,408.0,9.0,13.0,0.2,0,0
Qatar,2020-03-24,526.0,25.0,0.0,0.0,41.0,485.0,6.0,183.0,0.0,0,0
Romania,2020-03-24,794.0,218.0,12.0,5.0,79.0,703.0,15.0,41.0,0.6,0,0
Russia,2020-03-24,495.0,57.0,1.0,0.0,22.0,472.0,8.0,3.0,0.01,0,0
Rwanda,2020-03-24,40.0,4.0,0.0,0.0,0.0,40.0,0.0,3.0,0.0,0,0
Réunion,2020-03-24,94.0,23.0,0.0,0.0,1.0,93.0,0.0,105.0,0.0,0,0
Saint Lucia,2020-03-24,3.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,0.0,0,0
Saint Martin,2020-03-24,8.0,0.0,0.0,0.0,0.0,8.0,0.0,207.0,0.0,0,0
San Marino,2020-03-24,187.0,0.0,21.0,1.0,4.0,162.0,12.0,5511.0,619.0,0,0
Saudi Arabia,2020-03-24,767.0,205.0,1.0,1.0,28.0,738.0,0.0,22.0,0.03,0,0
Senegal,2020-03-24,86.0,7.0,0.0,0.0,8.0,78.0,0.0,5.0,0.0,0,0
Serbia,2020-03-24,303.0,54.0,3.0,0.0,15.0,285.0,21.0,35.0,0.3,0,0
Seychelles,2020-03-24,7.0,0.0,0.0,0.0,0.0,7.0,0.0,71.0,0.0,0,0
Singapore,2020-03-24,558.0,49.0,2.0,0.0,156.0,400.0,14.0,95.0,0.3,0,0
Sint Maarten,2020-03-24,2.0,0.0,0.0,0.0,0.0,2.0,0.0,47.0,0.0,0,0
Slovakia,2020-03-24,204.0,18.0,0.0,0.0,7.0,197.0,2.0,37.0,0.0,0,0
Slovenia,2020-03-24,480.0,38.0,4.0,1.0,3.0,473.0,12.0,231.0,2.0,0,0
Somalia,2020-03-24,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06,0.0,0,0
South Africa,2020-03-24,554.0,152.0,0.0,0.0,4.0,550.0,2.0,9.0,0.0,0,0
Sri Lanka,2020-03-24,102.0,5.0,0.0,0.0,2.0,100.0,2.0,5.0,0.0,0,0
St. Barth,2020-03-24,3.0,0.0,0.0,0.0,0.0,3.0,0.0,304.0,0.0,0,0
St. Vincent Grenadines,2020-03-24,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0,0
Sudan,2020-03-24,3.0,1.0,1.0,0.0,0.0,2.0,0.0,0.07,0.02,0,0
Suriname,2020-03-24,7.0,2.0,0.0,0.0,0.0,7.0,0.0,12.0,0.0,0,0
Syria,2020-03-24,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06,0.0,0,0
Taiwan,2020-03-24,216.0,21.0,2.0,0.0,29.0,185.0,0.0,9.0,0.08,0,0
Tanzania,2020-03-24,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.2,0.0,0,0
Thailand,2020-03-24,827.0,106.0,4.0,3.0,52.0,771.0,7.0,12.0,0.06,0,0
Timor-Leste,2020-03-24,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.0,0,0
Togo,2020-03-24,20.0,2.0,0.0,0.0,1.0,19.0,0.0,2.0,0.0,0,0
Trinidad and Tobago,2020-03-24,57.0,6.0,0.0,0.0,0.0,57.0,0.0,41.0,0.0,0,0
Tunisia,2020-03-24,114.0,25.0,4.0,1.0,1.0,109.0,11.0,10.0,0.3,0,0
Turkey,2020-03-24,1872.0,343.0,44.0,7.0,0.0,1828.0,0.0,22.0,0.5,0,0
Turks and Caicos,2020-03-24,1.0,0.0,0.0,0.0,0.0,1.0,0.0,26.0,0.0,0,0
UAE,2020-03-24,248.0,50.0,2.0,0.0,45.0,201.0,2.0,25.0,0.2,0,0
Uganda,2020-03-24,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.2,0.0,0,0
Ukraine,2020-03-24,102.0,29.0,3.0,0.0,1.0,98.0,0.0,2.0,0.07,0,0
Uruguay,2020-03-24,189.0,27.0,0.0,0.0,0.0,189.0,3.0,54.0,0.0,0,0
Uzbekistan,2020-03-24,50.0,4.0,0.0,0.0,0.0,50.0,0.0,1.0,0.0,0,0
Vatican City,2020-03-24,4.0,3.0,0.0,0.0,0.0,4.0,0.0,4994.0,0.0,0,0
Venezuela,2020-03-24,84.0,0.0,0.0,0.0,15.0,69.0,2.0,3.0,0.0,0,0
Vietnam,2020-03-24,134.0,11.0,0.0,0.0,17.0,117.0,3.0,1.0,0.0,0,0
Zambia,2020-03-24,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,0,0
Zimbabwe,2020-03-24,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.2,0.07,0,0
algeria,2020-03-24,264.0,34.0,19.0,2.0,24.0,221.0,0.0,6.0,0.4,0,0
australia,2020-03-24,2317.0,430.0,8.0,1.0,118.0,2191.0,11.0,91.0,0.3,0,0
austria,2020-03-24,5283.0,809.0,28.0,7.0,9.0,5246.0,22.0,587.0,3.0,0,0
belgium,2020-03-24,4269.0,526.0,122.0,34.0,461.0,3686.0,381.0,368.0,11.0,0,0
brazil,2020-03-24,2247.0,323.0,46.0,12.0,2.0,2199.0,18.0,11.0,0.2,0,0
canada,2020-03-24,2792.0,701.0,26.0,2.0,112.0,2654.0,1.0,74.0,0.7,0,0
china,2020-03-24,81171.0,78.0,3277.0,7.0,73159.0,4735.0,1573.0,56.0,2.0,0,0
china-hong-kong-sar,2020-03-24,387.0,30.0,4.0,0.0,102.0,281.0,4.0,52.0,0.5,0,0
denmark,2020-03-24,1591.0,131.0,32.0,8.0,1.0,1558.0,69.0,275.0,6.0,0,0
france,2020-03-24,22304.0,2448.0,1100.0,240.0,3281.0,17923.0,2516.0,342.0,17.0,0,0
germany,2020-03-24,32991.0,3935.0,159.0,36.0,3290.0,29542.0,23.0,394.0,2.0,0,0
greece,2020-03-24,743.0,48.0,20.0,3.0,29.0,694.0,35.0,71.0,2.0,0,0
indonesia,2020-03-24,686.0,107.0,55.0,6.0,30.0,601.0,0.0,3.0,0.2,0,0
iran,2020-03-24,24811.0,1762.0,1934.0,122.0,8913.0,13964.0,0.0,295.0,23.0,0,0
iraq,2020-03-24,316.0,50.0,27.0,4.0,75.0,214.0,0.0,8.0,0.7,0,0
ireland,2020-03-24,1329.0,204.0,7.0,1.0,5.0,1317.0,29.0,269.0,1.0,0,0
italy,2020-03-24,69176.0,5249.0,6820.0,743.0,8326.0,54030.0,3393.0,1144.0,113.0,0,0
malaysia,2020-03-24,1624.0,106.0,16.0,2.0,183.0,1425.0,64.0,50.0,0.5,0,0
netherlands,2020-03-24,5560.0,811.0,276.0,63.0,2.0,5282.0,435.0,324.0,16.0,0,0
norway,2020-03-24,2866.0,241.0,12.0,2.0,6.0,2848.0,44.0,529.0,2.0,0,0
philippines,2020-03-24,552.0,90.0,35.0,2.0,20.0,497.0,1.0,5.0,0.3,0,0
poland,2020-03-24,901.0,152.0,10.0,2.0,1.0,890.0,3.0,24.0,0.3,0,0
portugal,2020-03-24,2362.0,302.0,33.0,10.0,22.0,2307.0,48.0,232.0,3.0,0,0
south-korea,2020-03-24,9037.0,76.0,120.0,9.0,3507.0,5410.0,59.0,176.0,2.0,0,0
spain,2020-03-24,42058.0,6922.0,2991.0,680.0,3794.0,35273.0,2636.0,900.0,64.0,0,0
sweden,2020-03-24,2299.0,253.0,40.0,13.0,16.0,2243.0,143.0,228.0,4.0,0,0
switzerland,2020-03-24,9877.0,1082.0,122.0,2.0,131.0,9624.0,141.0,1141.0,14.0,0,0
uk,2020-03-24,8077.0,1427.0,422.0,87.0,135.0,7520.0,20.0,119.0,6.0,0,0
us,2020-03-24,54856.0,11075.0,780.0,225.0,379.0,53697.0,1175.0,166.0,2.0,0,0
Afghanistan,2020-03-25,84.0,10.0,2.0,1.0,2.0,80.0,0.0,2.0,0.05,0,0
Albania,2020-03-25,146.0,23.0,5.0,0.0,17.0,124.0,3.0,51.0,2.0,0,0
Andorra,2020-03-25,188.0,24.0,1.0,0.0,1.0,186.0,6.0,2433.0,13.0,0,0
Angola,2020-03-25,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.09,0.0,0,0
Antigua and Barbuda,2020-03-25,3.0,0.0,0.0,0.0,0.0,3.0,0.0,31.0,0.0,0,0
Argentina,2020-03-25,502.0,115.0,8.0,2.0,52.0,442.0,0.0,11.0,0.2,0,0
Armenia,2020-03-25,265.0,16.0,0.0,0.0,16.0,249.0,6.0,89.0,0.0,0,0
Aruba,2020-03-25,19.0,2.0,0.0,0.0,1.0,18.0,0.0,178.0,0.0,0,0
Azerbaijan,2020-03-25,93.0,6.0,2.0,1.0,10.0,81.0,6.0,9.0,0.2,0,0
Bahamas,2020-03-25,5.0,0.0,0.0,0.0,1.0,4.0,0.0,13.0,0.0,0,0
Bahrain,2020-03-25,419.0,27.0,4.0,1.0,177.0,238.0,2.0,246.0,2.0,0,0
Bangladesh,2020-03-25,39.0,0.0,5.0,1.0,7.0,27.0,0.0,0.2,0.03,0,0
Barbados,2020-03-25,18.0,0.0,0.0,0.0,0.0,18.0,0.0,63.0,0.0,0,0
Belarus,2020-03-25,86.0,5.0,0.0,0.0,29.0,57.0,2.0,9.0,0.0,0,0
Belize,2020-03-25,2.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0,0
Benin,2020-03-25,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5,0.0,0,0
Bermuda,2020-03-25,7.0,1.0,0.0,0.0,0.0,7.0,0.0,112.0,0.0,0,0
Bhutan,2020-03-25,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0,0
Bolivia,2020-03-25,32.0,3.0,0.0,0.0,0.0,32.0,0.0,3.0,0.0,0,0
Bosnia and Herzegovina,2020-03-25,176.0,8.0,3.0,0.0,2.0,171.0,1.0,54.0,0.9,0,0
British Virgin Islands,2020-03-25,2.0,2.0,0.0,0.0,0.0,2.0,0.0,66.0,0.0,0,0
Brunei,2020-03-25,109.0,5.0,0.0,0.0,2.0,107.0,1.0,249.0,0.0,0,0
Bulgaria,2020-03-25,242.0,24.0,3.0,0.0,4.0,235.0,8.0,35.0,0.4,0,0
Burkina Faso,2020-03-25,146.0,32.0,4.0,0.0,10.0,132.0,0.0,7.0,0.2,0,0
CAR,2020-03-25,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.6,0.0,0,0
Cabo Verde,2020-03-25,4.0,1.0,1.0,0.0,0.0,3.0,0.0,7.0,2.0,0,0
Cambodia,2020-03-25,96.0,5.0,0.0,0.0,10.0,86.0,1.0,6.0,0.0,0,0
Cameroon,2020-03-25,75.0,9.0,1.0,0.0,2.0,72.0,0.0,3.0,0.04,0,0
Cayman Islands,2020-03-25,8.0,2.0,1.0,0.0,0.0,7.0,0.0,122.0,15.0,0,0
Chad,2020-03-25,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,0,0
Channel Islands,2020-03-25,46.0,10.0,0.0,0.0,0.0,46.0,0.0,265.0,0.0,0,0
Chile,2020-03-25,1142.0,220.0,3.0,1.0,22.0,1117.0,7.0,60.0,0.2,0,0
Colombia,2020-03-25,470.0,92.0,4.0,1.0,8.0,458.0,0.0,9.0,0.08,0,0
Congo,2020-03-25,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.7,0.0,0,0
Costa Rica,2020-03-25,201.0,24.0,2.0,0.0,2.0,197.0,4.0,39.0,0.4,0,0
Croatia,2020-03-25,442.0,60.0,1.0,0.0,22.0,419.0,6.0,108.0,0.2,0,0
Cuba,2020-03-25,57.0,9.0,1.0,0.0,1.0,55.0,2.0,5.0,0.09,0,0
Curaçao,2020-03-25,6.0,0.0,1.0,0.0,2.0,3.0,0.0,37.0,6.0,0,0
Cyprus,2020-03-25,132.0,8.0,3.0,0.0,3.0,126.0,3.0,109.0,2.0,0,0
Czechia,2020-03-25,1654.0,260.0,6.0,3.0,10.0,1638.0,19.0,154.0,0.6,0,0
DRC,2020-03-25,48.0,3.0,2.0,0.0,0.0,46.0,0.0,0.5,0.02,0,0
Diamond Princess,2020-03-25,712.0,0.0,10.0,0.0,597.0,105.0,15.0,0.0,0.0,0,0
Djibouti,2020-03-25,11.0,8.0,0.0,0.0,0.0,11.0,0.0,11.0,0.0,0,0
Dominica,2020-03-25,11.0,4.0,0.0,0.0,0.0,11.0,0.0,153.0,0.0,0,0
Dominican Republic,2020-03-25,392.0,80.0,10.0,4.0,3.0,379.0,0.0,36.0,0.9,0,0
Ecuador,2020-03-25,1211.0,129.0,29.0,2.0,3.0,1179.0,2.0,69.0,2.0,0,0
Egypt,2020-03-25,456.0,54.0,21.0,1.0,95.0,340.0,0.0,4.0,0.2,0,0
El Salvador,2020-03-25,9.0,4.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0,0
Equatorial Guinea,2020-03-25,9.0,0.0,0.0,0.0,0.0,9.0,0.0,6.0,0.0,0,0
Eritrea,2020-03-25,4.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0,0
Estonia,2020-03-25,404.0,35.0,1.0,1.0,8.0,395.0,6.0,305.0,0.8,0,0
Eswatini,2020-03-25,4.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0,0
Ethiopia,2020-03-25,12.0,0.0,0.0,0.0,0.0,12.0,0.0,0.1,0.0,0,0
Faeroe Islands,2020-03-25,132.0,10.0,0.0,0.0,38.0,94.0,2.0,2701.0,0.0,0,0
Fiji,2020-03-25,5.0,1.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0,0
Finland,2020-03-25,880.0,88.0,3.0,2.0,10.0,867.0,22.0,159.0,0.5,0,0
French Guiana,2020-03-25,28.0,5.0,0.0,0.0,6.0,22.0,0.0,94.0,0.0,0,0
French Polynesia,2020-03-25,25.0,0.0,0.0,0.0,0.0,25.0,0.0,89.0,0.0,0,0
Gabon,2020-03-25,6.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0,0.4,0,0
Gambia,2020-03-25,3.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.4,0,0
Georgia,2020-03-25,75.0,5.0,0.0,0.0,10.0,65.0,1.0,19.0,0.0,0,0
Ghana,2020-03-25,68.0,15.0,4.0,2.0,0.0,64.0,0.0,2.0,0.1,0,0
Gibraltar,2020-03-25,26.0,11.0,0.0,0.0,5.0,21.0,0.0,772.0,0.0,0,0
Greenland,2020-03-25,6.0,1.0,0.0,0.0,2.0,4.0,0.0,106.0,0.0,0,0
Grenada,2020-03-25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0,0
Guadeloupe,2020-03-25,73.0,0.0,1.0,0.0,0.0,72.0,4.0,182.0,2.0,0,0
Guatemala,2020-03-25,24.0,3.0,1.0,0.0,4.0,19.0,0.0,1.0,0.06,0,0
